id,cluster,title,authors,year,venue,venue_type,link,publication_status,research_problem,contribution_type,core_method,datasets,baselines,metrics,code_available,key_evidence,limitations,relevance_to_project
C15,C,LMR-BENCH: Reproducing Language Modeling Research,Yan et al.,2025,EMNLP,conference,https://aclanthology.org/2025.emnlp-main.314/,published,Can agents reproduce code from NLP papers requiring abstract concept synthesis?,benchmark,28 code reproduction tasks from 23 NLP papers; 9 categories; unit test+LLM evaluation,23 top-tier NLP papers,State-of-the-art LLMs,Pass rate (unit tests)/LLM-based correctness,No,Even most advanced models exhibit persistent limitations in scientific reasoning and code synthesis from NLP papers,28 tasks only; NLP-specific; no published quantitative failure rates,Focused test of code reproduction from papers — fundamental capability
C16,C,PiML: Automated ML Workflow Optimization using LLM Agents,Chopde et al.,2025,AutoML Conference,conference,https://proceedings.mlr.press/v293/chopde25a.html,published,Can iterative agentic reasoning surpass AIDE for end-to-end ML workflows?,system,Multi-agent: iterative Thought-Action-Observation+Debug Chain+adaptive memory; o3-mini,26 MLE-Bench competitions,AIDE,Submissions Above Median/Medal Rate/Avg Percentile,No,41.0% Above Median vs 30.8%; 29.5% Medal vs 23.1%; 44.7% Percentile vs 38.8%,Single model tested (o3-mini); adaptive memory may lose context in long runs,Systematic debugging+adaptive memory > tree-search-only (AIDE)
C17,C,ML-Master: Integration of Exploration and Reasoning,Liu et al. (SJTU),2025,arXiv,preprint,https://github.com/sjtu-sai-agents/ML-Master,preprint,Can balanced exploration-reasoning surpass MLE-bench leaders?,system,MCTS-inspired tree search+steerable reasoning with adaptive memory; DeepSeek-R1 backbone,MLE-Bench (75 Kaggle competitions),AIDE (16.9%)/RD-Agent (22.4%),Medal Rate/Valid Submission%/Above Median,Yes,"Medal 29.3% (12h)/56.44% (ML-Master 2.0/24h); 93.3% valid submission; 44.9% above median",Still far from human expert on hard tasks,SOTA MLE-bench; value of integrating MCTS exploration with reasoning
C18,C,Independent Evaluation of Sakana's AI Scientist,Beel et al.,2025,ACM SIGIR Forum,journal,https://arxiv.org/abs/2502.14297,published,Are AI Scientist's bold claims of autonomous discovery supported?,independent evaluation,Installed+running AI Scientist v1 on 2 computers; MovieLens-100k; systematic output analysis,MovieLens-100k (single),AI Scientist's own claims; human researcher baseline,Experiment failure rate/hallucination rate/novelty misclassification,No,42% experiment failure; 57% hallucinated manuscripts; 100% novelty misclassification; +8% chars/iteration code modification,Single dataset; single template; GPT-4o only; v1 only,MOST SOBERING data on actual failure rates; essential before making any autonomous agent claims
D01,D,Deep Learning for Digitisation of Complex Documents and Engineering Diagrams,Jamieson et al.,2024,AI Review,journal,https://link.springer.com/article/10.1007/s10462-024-10779-2,published,Comprehensive critical survey of DL for engineering drawing processing,survey,Systematically reviews CNN/Transformer/hybrid methods for P&ID/floor plans/construction,Multiple (Oil & Gas/Architectural/Mechanical),Reviews methods across sectors,Comparative analysis of accuracy/precision/recall,N/A (survey),DL adoption significantly increasing since 2018; key challenge: lack of public datasets,Lacks VLM coverage (too early),Foundational orientation: data scarcity+annotation difficulty=genuine research barriers
D02,D,P&ID Digitization with Transformers + PID2Graph Dataset,Stürmer et al.,2024,arXiv,preprint,https://arxiv.org/abs/2411.13929,preprint,End-to-end graph extraction from P&IDs,method+dataset,Relationformer (DETR variant): simultaneous object+relationship detection; first public P&ID graph dataset,PID2Graph (public on Zenodo)/synthetic P&IDs,Modular symbol detection+text extraction+line tracing,Edge detection/node detection/graph reconstruction quality,No (data on Zenodo),+25% edge detection over modular baselines on real data,Single industrial domain (Oil & Gas); no semantic validation,Strongest baseline for image-to-structured-graph recovery
D03,D,Fine-Tuning VLM for Automated GD&T Extraction,Khan et al.,2024,arXiv,preprint,https://huggingface.co/papers/2411.03707,preprint,Can small fine-tuned VLM beat large zero-shot VLM on GD&T?,method,Fine-tuned Florence-2 (0.23B) vs zero-shot GPT-4o/Claude-3.5-Sonnet,400 annotated 2D engineering drawings (custom),GPT-4o/Claude-3.5-Sonnet (zero-shot),Precision/Recall/F1/Hallucination rate,No,+29.95% precision; +37.75% recall; +52.4% F1; -43.15% hallucination,Small dataset (400); single GD&T task; generalization untested,"Small fine-tuned VLMs > large zero-shot on specialized engineering tasks; directly supports auto-fine-tuning validation"
D04,D,FlowLearn: Evaluating LVLMs on Flowchart Understanding,Pratinav et al.,2024,ECAI,conference,https://huggingface.co/papers/2407.05183,published,Standardized LVLM flowchart understanding benchmark,benchmark,3858 scientific+10000 simulated (Mermaid.js) flowcharts; 5 task types,FlowLearn (13858 flowcharts public),GPT-4V/Claude-3-Opus,Accuracy per task/F1 Mermaid code gen,Yes,GPT-4V 58% node counting; Claude Opus 83% OCR; **all models <50% F1 link-level Mermaid**,Simulated flowcharts may be simpler than real engineering diagrams,Demonstrates even SOTA LVLMs fail at compositional structural reasoning
D05,D,TextFlow: Intermediate Text Representation for Flowchart QA,Ye et al.,2025,NAACL,conference,https://github.com/JunyiYe/TextFlow,published,End-to-end VLMs lack controllability/explainability for flowchart QA,method,Vision Textualizer (flowchart→Graphviz/Mermaid/PlantUML)+Textual Reasoner (LLM),FlowVQA/FlowLearn,End-to-end VLM,QA accuracy/format controllability/error attribution,Yes,SOTA on both benchmarks with improved robustness and explainability,Vision Textualizer can propagate errors; text format choice affects downstream,Decouple vision from reasoning: highly relevant for auto-fine-tuning pipeline design
D06,D,GraphDecoder: Recovering Network Graphs from Visualization Images,Song et al.,2024,IEEE TVCG,journal,https://ieeexplore.ieee.org/document/9966829,published,Recover diverse network graphs (mind maps/flowcharts/E-R) from raster images,method,Attention-enhanced U-Net semantic segmentation+custom graph extraction loss,Internet-collected+generated dataset,N/A (first-of-kind),Segmentation accuracy/topological reconstruction,No,Effective recovery of diverse graph types; interactive redesign interface,U-Net architecture (pre-VLM era); limited to known visual styles,Establishes image-to-graph recovery problem formally
D07,D,DesignQA: Multimodal Benchmark for Engineering Documentation Understanding,Doris et al.,2025,ASME JCISE,journal,https://github.com/anniedoris/design_qa/,published,Can MLLMs reason about engineering requirements from text+CAD+drawings?,benchmark,3 task categories: Rule Comprehension/Compliance/Extraction; Formula SAE documents+CAD,Formula SAE documents+CAD images (public),GPT-4/GPT-4o/Claude-Opus/Gemini-1.0/LLaVA-1.5,Accuracy per task category,Yes,MLLMs struggle with rule retrieval+technical component recognition+drawing analysis,Single domain (Formula SAE); limited model set,Directly tests Cluster D core hypothesis: can VLMs reason about engineering diagrams in context?
D08,D,Draw with Thought: Unleashing Multimodal Reasoning for Scientific Diagrams,Multiple authors,2025,ACM Multimedia,conference,https://huggingface.co/datasets/miracle10/DwT_drawio,published,Recover editable structured representations from raster scientific diagrams,method+dataset,CoT coarse-to-fine planning+structure-aware code generation+Draw.io Verifier refinement,Plot2XML (247 real diagrams; Easy/Medium/Hard),Direct prompting/image-to-code baselines,CLIP score (ρ=0.825 human)/DINO/FID/XML validity,Yes (Hugging Face),10-20% higher semantic alignment; 89% XML validity; human eval 7.3/10 similarity,Scientific conference diagrams (not industrial); training-free relies on MLLM,IMAGE-TO-STRUCTURED-GRAPH best method; mxGraph XML format+CLIP-score evaluation protocol directly adoptable
D09,D,CAD2Program: From 2D CAD Drawings to 3D Parametric Models,Wang et al.,2025,AAAI,conference,https://huggingface.co/papers/2412.11892,published,Reconstruct 3D parametric models from 2D CAD raster drawings,method,InternVL (Mini-InternVL 2B): ViT encodes raster→auto-regressive text shape programs (Python),368K cabinet models (373 primitives),Prior CAD reconstruction methods,Model retrieval accuracy/3D reconstruction F1/parameter accuracy,No,93.8% retrieval; 82.76% F1; 97.21% param accuracy; annotations +20% F1,Single domain (cabinets); text-based output constrains to predefined primitives,VLM-based diagram-to-structured-output pipeline; annotations are critical context
D10,D,SysTemp: Multi-Agent System for Template-Based SysML v2 Generation,Bouamra et al. (Siemens),2025,PAAMS,conference,https://link.springer.com/chapter/10.1007/978-3-032-07638-0_4,published,LLMs fail at syntactically correct SysML v2 due to scarce training data,method,4-agent system: SpecificationGenerator→TemplateGenerator (Jinja2)→Writer→Parser (ANTLR feedback),Custom NL SysML v2 scenarios (5 reported),LLM-only (no templates),Syntactic correctness rate,No,80% syntax correctness with skeleton vs 20% without; ≤3 refinement iterations,Small test set (5 scenarios); semantic correctness not evaluated; template constrains expressiveness,Establishes LLM+parser feedback loop for SysML v2
D11,D,Agent-Based Approach for Valid SysMLv2 Model Generation,Cibrian et al.,2025,Computers in Industry,journal,https://www.sciencedirect.com/science/article/pii/S0166361525001150,published,Industrial-grade SysML v2 generation with 100% syntactic validity,method,LLM+RAG (curated SysML v2 examples)+ANTLR validation engine+diagnostic self-correction,20 diverse NL prompts,LLM-only (no RAG+ANTLR),Syntactic validity/accuracy/consistency/formal correctness,No,**100% syntactic validity across 20 prompts**; outperforms LLM-only in ALL metrics,No semantic correctness evaluation; RAG dependency on curated examples,RAG+ANTLR+self-correcting loop=blueprint for SysML validation component
D12,D,VQA for SysML Block Definition Diagrams,Bell et al. (Naval Postgraduate School),2025,INCOSE IS,conference,https://dair.nps.edu/handle/123456789/5436,published,Can MLLMs understand SysML v1 BDDs at Bloom's lower cognitive levels?,benchmark,VQA tasks on SysML v1 BDDs at Bloom's Remember and Understand levels,SysML v1 BDDs (defense domain),N/A,Accuracy at Remember and Understand levels,No,MLLMs show basic BDD comprehension but limitations at higher-order reasoning,Limited to BDDs; lower Bloom's levels only; defense data may not be public,Pioneering VLM-SysML intersection; low baseline shows how poorly VLMs understand SysML
D13,D,CircuitSense: Hierarchical Circuit Benchmark Exposing Perception-Reasoning Gap,Akbari et al.,2025,NeurIPS,conference,https://circuitsense-benchmark.github.io,published,MLLMs perceive circuits but can they derive equations and do engineering reasoning?,benchmark,8006+ problems; 6 hierarchy levels (resistor→system block); 3 tasks: Perception/Analysis/Design,Textbook+ synthetic circuits (public benchmark),Closed-source MLLMs,Accuracy per task,Yes,**Closed-source MLLMs: >85% perception but <19% symbolic derivation and analytical reasoning**,Synthetic circuits may miss real complexity; electrical domain only,Quantifies perception-reasoning gap—Cluster D's structured-graph recovery must close this
D14,D,Beyond Pixels: Vector-to-Graph Framework for Reliable Schematic Auditing,Multiple authors,2025,arXiv,preprint,https://arxiv.org/abs/2602.11678,preprint,MLLMs suffer structural blindness on engineering schematics due to pixel-driven processing,method,V2G pipeline: CAD primitives→property graph (ezdxf)+GSP Verifier (Laplacian eigenvalues),~900 power utility engineering schematics; 3 compliance categories,6 MLLMs (GPT-4V/Claude/Gemini),Accuracy on compliance checks,Yes (github.com/gm-embodied/V2G-Audit),Overall 12%→47% (MLLM→MLLM+V2G); connection labeling 6%→67% (+61%); ALL 6 MLLMs benefited,Requires vector CAD input; single utility domain; GSP is deterministic/rule-based,DIRECTLY validates Cluster D hypothesis: pixel-based VLM is fundamentally unreliable without graph structure
D15,D,MBSE-Graph-RAG for Engineering Document Querying,Hanke et al.,2025,Proceedings of the Design Society,conference,https://www.cambridge.org/core/journals/proceedings-of-the-design-society, published,Can LLM+KG democratize MBSE tool access?,system,Knowledge graphs from unstructured engineering docs aligned with SysML standards; NL→graph query,Unstructured engineering documents (conceptual),N/A,Qualitative assessment,No,Framework for bridging generative AI with MBSE data consolidation,Conceptual only; no quantitative benchmarks,Establishes RAG+KG paradigm for SysML/MBSE
D16,D,AGREE-Dog Copilot: Neuro-Symbolic Approach to Enhanced MBSE,Multiple authors (DARPA PROVERS),2025,Springer,conference,https://link.springer.com/chapter/10.1007/978-3-032-07132-3_8,published,Can LLM copilot automate formal verification counterexample repair for MBSE?,method,LLMs (GPT-4o/O3/GPT-4.1)+AGREE model checker; 16 automated DevOps steps; novel context selection,13 fault-injection scenarios on AADL models,Manual repair baseline,Repair rate/accuracy after N iterations/latency/human input,Yes (OSATE IDE),84.6% 1-iteration; ~92% after 2; **100% within 3**; human <0.1% tokens; weeks→minutes,AADL-specific (not SysML directly); requires formal AGREE contracts,Demonstrates neuro-symbolic verification; 3-iteration convergence=north-star target
E01,E,A Survey on Stability of Learning with Limited Labelled Data,Pecher et al.,2025,ACM Computing Surveys,journal,https://dl.acm.org/doi/10.1145/3691339,published,How does uncontrolled randomness affect FSL/meta-learning/PEFT stability?,survey,Systematic analysis of 415 papers categorizing randomness effects on stability,415 papers across FSL/meta-learning/prompting/ICL/fine-tuning,N/A (survey/meta-review),Performance deviations across seeds/data shuffling,No,Performance deviations up to 90% between min and max; seed changes can invert model rankings,Focused on categorization not solutions,Foundational for PEFT benchmark design: variance analysis is non-optional
E02,E,PEFT-Bench: A Parameter-Efficient Fine-Tuning Methods Benchmark,Belanec et al.,2026,EACL,conference,https://huggingface.co/papers/2511.21285,published,First holistic end-to-end PEFT benchmark for autoregressive LLMs,benchmark,7 PEFT methods (LoRA/IA3/Prompt/P-Tuning/Prefix/LNTuning) on 27 NLP datasets; PEFT Soft Cost Penalties metric,27 NLP datasets (GLUE/SuperGLUE/MMLU/math/code),7 PEFT methods,Accuracy/PSCP (params+inference speed+training memory),Yes (Hugging Face),LoRA best overall accuracy; LNTuning best PSCP; IA3 most stable,LLaMA-3-8B-Instruct only; NO vision; NO cross-seed variance,First unified PEFT benchmark but doesn't cover vision or variance analysis (our gap)
E03,E,Evaluating the Evaluators: Are Validation Methods for FSL Fit for Purpose?,Shimabucoro et al.,2024,TMLR,journal,https://www.research.ed.ac.uk/en/publications/evaluating-the-evaluators-are-validation-methods-for-few-shot-lea/,published,How accurately do different performance estimators work in FSL?,diagnostic,Systematic investigation of task-level validation accuracy for FSL; 5-fold CV/LOO-CV/bootstrapping,Multiple FSL benchmarks,5-fold CV/LOO-CV/bootstrapping,MAE/Spearman correlation/misclassification rate,No,">50% chance validation accuracy wrong by >10 absolute points; best estimator MAE 9.5-12.7%; max Spearman 0.36",Limited to FSL tasks tested,Quantifies FSL evaluation unreliability: any PEFT benchmark must address this
E04,E,Lessons from a Unifying Study of PEFT in Visual Recognition (diagnostic aspect),Mai et al.,2025,CVPR,conference,https://openaccess.thecvf.com/content/CVPR2025/html/Mai_Lessons_and_Insights_from_a_Unifying_Study_of_Parameter-Efficient_Fine-Tuning_CVPR_2025_paper.html,published,Do prior PEFT comparisons survive careful hyperparameter tuning?,diagnostic,Hyperparameter-tuned comparison of all major PEFT methods on VTAB-1K; cross-method error analysis,VTAB-1K (19 tasks),VPT/Adapter/LoRA/BitFit/SSF (all tuned),Top-1 accuracy; error type analysis; ensemble gain,No,"ALL methods similar when tuned; complementary errors; PEFT preserves robustness better than full FT",VTAB-1K only; no multi-seed variance analysis,Template for diagnostic study methodology; also listed in Cluster A
E05,E,AMLB: An AutoML Benchmark,Gijsbers et al.,2024,JMLR,journal,https://openml.github.io/automlbenchmark/,published,Rigorous reproducible evaluation of AutoML systems,benchmark,104 tasks; Docker containers; fixed time budgets; Friedman+Nemenyi statistical comparisons,71 classification+33 regression,Multiple AutoML systems,Statistical rankings/reproducibility levels,Yes,AutoGluon SOTA; AutoGluon 5min > others 1h; only 4/24 LM benchmarks provide replication scripts,Docker overhead,Gold standard for rigorous AutoML evaluation
E06,E,AutoML Benchmark with Shorter Time Constraints and Early Stopping,Jurado et al.,2025,arXiv,preprint,https://ar5iv.labs.arxiv.org/html/2504.01222,preprint,Can time budgets as short as 5-30min preserve discriminative power?,diagnostic,Framework comparison across 5min→4h budgets; early stopping analysis,104 AMLB tasks,AutoGluon/other AutoML systems,Rank consistency across budgets (Pearson r),No,"Rankings highly consistent (r>0.96 between 5min and 60min); early stopping saves 20-50% wall-time; 92% compute reduction",Limited to tested frameworks,Demonstrates that short budgets preserve HPO comparison validity; enables extensive reproducibility testing
E07,E,UML Diagram Classification Dataset,Torcal et al.,2024,Applied Sciences (MDPI),journal,https://www.mdpi.com/2076-3417/14/23/10873,published,Curated duplicate-free UML diagram dataset for classification,dataset+benchmark,2626 images; 6 classes (activity/class/component/deployment/sequence/use case); Vision Transformers vs CNNs,2626 UML diagrams (6 classes),ResNet-152/DenseNet-169/ViT variants,Accuracy/F1-score,Yes (MDPI),ViT_h_14 92.7% accuracy; Component hardest (82.8% F1); Sequence easiest (97.7%),Small dataset; UML only; single benchmark evaluation,Only public UML dataset but no SysML v2 equivalent exists
E08,E,ArchCAD-400K: Open Large-Scale Architectural CAD Dataset,Multiple authors,2025,NeurIPS,conference,https://proceedings.neurips.cc/paper_files/paper/2025/hash/b96ce7d38339874a8704e8895f743284-Abstract-Conference.html,published,Large-scale architectural CAD symbol spotting dataset,dataset+benchmark,413062 annotated chunks from 5538 drawings; 27 semantic categories; DPSS baseline,5538 architectural drawings,Prior CAD symbol spotters,Panoptic Quality,Yes,70.6% PQ (10% over prior); 26x larger than FloorPlanCAD; only 14% residential,Architectural CAD only (not engineering),Largest CAD dataset precedent; annotation pipeline methodology transferable
E09,E,DrafterBench: Benchmarking LLMs for Civil Engineering Drawing Revision,Li et al.,2025,arXiv,preprint,https://huggingface.co/papers/2507.11527,preprint,First benchmark for LLM agents on real-world technical drawing revision,benchmark,1920 tasks across 12 types from 20 real drawing projects; 46 PDF tools,20 real-world drawing projects,GPT-4o/o1/Claude,Composite score/task completion rate,Yes (github.com/Eason-Li-AIS/DrafterBench),"Top model 79.9/100; ~20pt gap from simple to complex; overall task completion ~40%; single error→complete failure",PDF-specific; civil engineering domain only,Real-world engineering drawing benchmark with quantifiable failure modes
E10,E,Enginuity: Engineering Diagram VLM Benchmark,Kumar et al.,2026,arXiv,preprint,https://arxiv.org/abs/2606.03410,preprint,First open dataset for evaluating VLMs on complex engineering diagrams,dataset+benchmark,6940 pages; 18 vehicle subsystems; 6 diagram types; US military manuals,2056 diagram-parts-table pairs+60 expert QA,GPT-5.2/Claude Opus 4.7/Gemma 4/Qwen3-VL-32B,Recall@all/Token F1pen/QA accuracy,Yes,"Recall@all 0.61-0.87 but Token F1pen only 0.03-0.18—systematic gap between identifying and describing parts",Military domain specificity; small QA set,Engineering VLM benchmark quantifying descriptive capability gap
E11,E,Why Your Language Model is a Poor Implicit Reward Model? (Min-P Re-analysis),Multiple authors,2025,OpenReview,under_review,https://openreview.net/pdf/ce38e07608cc261002d472ba288d6313a8ae97ce.pdf,under review,Can a high-profile ICLR Oral paper's claims survive proper statistical correction?,negative_result,Re-analysis: included omitted data; Bonferroni correction; new independent human eval,Original Min-P paper datasets,Original Min-P paper claims,N/A (re-analysis),After Bonferroni: 1/12 significant at 0.05/0/12 at 0.01; more participants preferred basic sampling,Re-analysis only; no new positive method,Blueprint for rigorous empirical science; documents common pitfalls in ML research
E12,E,Pitfalls in Evaluating Inference-time Methods for Improving LLM Reliability,Jerge & Evans,2025,TMLR,journal,https://openreview.net/forum?id=xeGWsmqFS8,published,Do inference-time methods consistently improve LLM reliability?,negative_result,Systematic evaluation of CoT/Self-Consistency/ReAct/TreeOfThoughts/GraphOfThoughts/Multi-Agent Debate,GSM8K/Document Merging/multiple benchmarks,6 inference-time methods,Impact across benchmarks,Yes,**Each method had negative impact on at least one benchmark**; only 2 benchmarks showed avg improvement; no method consistently improved reliability,Method set limited; benchmarks may not represent all reliability dimensions,Template for negative-result diagnostic paper; structure is replicable for other subfields
E13,E,Measuring What Matters: Construct Validity in LLM Benchmarks,Bean et al. (29 reviewers: Oxford/EPFL/Stanford/Yale),2025,NeurIPS,conference,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1967e0fc3aa6cbbace562f5cb8e3954e-Abstract-Datasets_and_Benchmarks_Track.html,published,Do LLM benchmarks actually measure what they claim to measure?,survey/meta-review,Systematic review of 445 LLM benchmarks from 46114 articles; construct validity assessment,46114 articles→445 benchmarks,N/A (meta-review),Construct validity presence/statistical test usage/sampling methodology,Yes,**Only 53.4% show any construct validity evidence; only 16% use statistical tests; 8 actionable recommendations**,Meta-review; no new benchmark,Checklist for designing any new benchmark; 8 recommendations should be mandatory
E14,E,Train More Parameters But Mind Their Placement: PEFT Ablation,Kunz,2025,NoDaLiDa,conference,https://aclanthology.org/2025.nodalida-1.35/,published,Which LoRA adapter placement is optimal for language adaptation?,diagnostic,Systematic ablation of LoRA adapter placement (attention/feed-forward/layer-wise),Language adaptation benchmarks,Standard LoRA placements,BERTScore,Yes,Feed-forward layers best; attention-layer LoRA underperforms; combining unnecessary; final 2 layers mitigate context degradation; more params consistently better,NLP only (language adaptation),PEFT placement methodology template; shows that more params typically better
E15,E,Empirical Evaluation of CO2 Emissions in BERT Fine-tuning,Multiple authors,2025,ICCSIT,conference,https://dl.acm.org/doi/10.1145/3783862.3783905,published,Systematic quantification of carbon emissions in BERT fine-tuning,empirical,CO2 measurement via CodeCarbon; hyperparameter/GPU/batch size/model variant analysis,BERT fine-tuning benchmarks,N/A (emission measurement),CO2 emissions/accuracy/GPU time,No,"15-40 kg CO2/run; 25% emission reduction via HP tuning; DistilBERT -45% CO2 for -2% accuracy; LoRA 7B: 57g CO2e for 21300 samples",Single model family (BERT); single benchmark framework,Quantifies energy-efficiency trade-off; LoRA emissions are negligible vs full FT
F01,F,Pervasive Label Errors in Test Sets Destabilize ML Benchmarks,Northcutt et al. (MIT/CleanLab),2021,NeurIPS,conference,https://arxiv.org/abs/2103.14749,published,Label errors are pervasive in benchmark test sets and distort model rankings,empirical+algorithm+corrected_datasets,Confident Learning: estimates joint distribution of noisy and true labels via out-of-sample predicted probabilities,MNIST/CIFAR-10/CIFAR-100/Caltech-256/ImageNet/QuickDraw/AudioSet,Original test sets,Label error rate/model accuracy change/ranking flips,Yes (github.com/cleanlab/label-errors),"3.3% avg error across 10 benchmarks; ImageNet ~6% errors; 51% of CL-flagged candidates confirmed; ResNet-18 > ResNet-50 on corrected labels",Requires well-calibrated predicted probabilities; misses systematic errors,Foundational: CleanLab should be preprocessing step before any PEFT
F02,F,Data-centric Artificial Intelligence: A Survey,Zha et al.,2025,ACM Computing Surveys,journal,https://dl.acm.org/doi/full/10.1145/3711118,published,ML research over-emphasizes model innovation at expense of data quality,survey,Taxonomy: training data development/inference data development/data maintenance across data lifecycle,Benchmarks across vision/NLP/tabular/graph,N/A (survey),N/A (survey),Yes (github.com/daochenzha/data-centric-AI),First comprehensive data-centric AI survey; 242+ citations; identifies data quality as first-class concern,No empirical comparisons,Framework for why data quality matters as much as model architecture
F03,F,DataPerf: Benchmarks for Data-Centric AI Development,Mazumder et al. (45 authors incl. Andrew Ng),2023,NeurIPS,conference,https://arxiv.org/abs/2207.10062,published,No standardized benchmarks for evaluating data-centric algorithms,benchmark,Six tasks: training set creation/test set creation/selection/debugging/slicing/valuation,Vision/speech/acquisition/debugging/diffusion prompting,Baseline implementations provided for each,Task-specific (accuracy/F1 for selection; coverage/precision for slicing),Yes (github.com/mlcommons/dataperf),First community-led benchmark suite; sustained by MLCommons; enables reproducible data-cleaning comparison,Initial release 5 benchmarks; no LLM-specific data quality tasks; some need substantial compute,Evaluating data-cleaning as preprocessing before PEFT
F04,F,BOXWRENCH: Benchmarking Weak Supervision on Realistic Tasks,Zhang et al.,2025,NeurIPS,conference,https://arxiv.org/abs/2501.07727,published,Existing WS benchmarks too simplistic; don't reflect real label noise,benchmark,Realistic labeling functions with high class cardinality/domain expertise/multilingual LF reuse,BOXWRENCH (multi-domain with realistic LFs),Existing WS benchmarks (WRENCH) + supervised baselines,Accuracy/F1/label model precision/recall,Yes,"Supervised learning needs 1000+ labeled examples to match weak supervision in realistic settings—critical for small-data budgets",Still synthetic approximation; may not capture all noise types,Weak supervision as alternative when clean labels are scarce
F05,F,FHLR: Few-Shot Human-in-the-Loop Refinement for Label Noise,Saeed et al.,2025,Scientific Reports,journal,https://pmc.ncbi.nlm.nih.gov/articles/PMC11794423/,published,Small sensor datasets suffer severe degradation under label noise; existing methods fail at high noise,method,Three-stage: seed training (label smoothing+EMA)→~100 expert-corrected labels→weighted parameter averaging,Sleep scoring/Activity recognition/Cardiac arrhythmia/Artifact detection (all small),Cross-entropy/Label smoothing/Mixup/Focal loss/Confident Learning/Co-teaching/DivideMix/NPC,Accuracy/F1,Yes,"At 60% symmetric noise: FHLR 74.1% vs next best (LC) 30.2% (43-point gain); 19-31% improvement under asymmetric noise; robust to annotator disagreement",Requires ~100 expert labels; tested only on 1D sensor data,Directly models small-data+noise double challenge; budget-aware (only 100 expert labels needed)
F06,F,BatMan-CLR: Making Few-Shot Meta-Learners Resilient Against Label Noise,Galjaard et al.,2025,ECML-PKDD,conference,https://dl.acm.org/doi/abs/10.1007/978-3-032-06106-5_15,published,Meta-learners suffer catastrophic accuracy drops (up to 34%) under label noise during meta-training,method,Manifold+batch-manifold sampling transforms noisy supervised tasks into semi-supervised ones with contrastive loss,CIFAR-FS/miniImageNet,Reptile/iMAML/foMAML (clean+noisy)/ProtoNet,Few-shot accuracy (1-shot/5-shot),Yes,"60% wrong labels: accuracy drops limited to 1.1% (miniImageNet) and 9.4% (CIFAR-FS) vs 34% drop for baseline meta-learners",Only gradient-based meta-learners; contrastive loss adds compute; no cross-domain noise,Directly addresses few-shot+noise; intelligent sample selection improves robustness
F07,F,APPN: Attention-based Pseudo-label Propagation for Noisy Few-Shot Learning,Chen et al.,2024,Neurocomputing,journal,https://www.sciencedirect.com/science/article/abs/pii/S0925231224009834,published,FSL benchmarks assume clean labels but real few-shot tasks have noisy support sets,method,Attention mechanism distinguishes clean/noisy samples; pseudo-label propagation using latent class information,FC100/CIFAR-FS/miniImageNet/tieredImageNet,ProtoNet/MAML/MatchingNet/DN4/FEAT and noise-aware baselines,Few-shot accuracy under varying noise rates,Yes,Outperforms prior noise-robust FSL methods across Type I ID/Type II ID/OOD noise; interpretable attention-based noise detection,Graph propagation adds inference overhead; relies on attention quality,Practical reality: small support sets are often noisy; attention mechanism could inspire PEFT noise-filtering
F08,F,Why LoRA Resists Label Noise: A Theoretical Framework,Steele,2026,arXiv,preprint,https://arxiv.org/abs/2602.00084,preprint,LoRA shows empirical noise robustness but no theoretical explanation existed,theory+algorithm,"3 theorems: (1) Memorization bound—rank-r LoRA cannot memorize all labels when n>O(r(d+k-r)); (2) Optimal rank decreases with noise r*=O((n/(d(1+η)))^(1/(2α+1))); (3) Temporal separation—clean patterns early noise late. RACT algorithm for noise detection via rank discrepancy",AG News/CIFAR-10/SST-2,Standard LoRA/full fine-tuning/SFT,Accuracy/noise detection F1,Yes,"91.1% F1 noise detection on AG News; 91.46% accuracy maintained; lower rank recommended when noise suspected",Preprint (not yet peer-reviewed); single-author; moderate-scale datasets; RACT requires 2 adapters,CRITICAL: theoretical justification for low-rank LoRA under noise; optimal rank scaling with noise rate
F09,F,Delora: Dual Low-Rank Adaptation for Noisy Label Detection,Yuan et al. (Zhejiang University),2025,ACL,conference,https://aclanthology.org/2025.findings-acl.792/,published,Traditional small-loss sample selection creates vicious cycle where poor selection corrupts training,method,Dual LoRA: clean LoRA memorizes clean data + noisy LoRA memorizes mislabeled data; noisy LoRA output = learnable sample-dependent threshold; Stage 2 relabels with GPT-4o,Synthetic (Tree/SST-2/SST-5/20NG/AGNews) + real-world (Hausa/Yoruba/AlleNoise),Standard LoRA/NoiseAL/Co-teaching/DivideMix,Accuracy/noise detection F1/parameter+memory overhead (MB),Yes,"+3.26% to +10% accuracy gain over standard LoRA under 20-40% noise; only +13.6MB params and +3.2GB memory; 84.53% at 60% symmetric noise",Relabeling stage requires GPT-4o API; tested primarily on text; dual LoRA adds modest training compute,CRITICAL: decoupling noise detection from classification in PEFT; directly implementable on RTX 5080 16GB
